dataset,generator,target_stance,retriever,mode,method,original_delta_tsr,clean_baseline_delta_tsr_average,calibrated_delta_tsr,original_ofsr,clean_baseline_ofsr_average,calibrated_ofsr,original_asv,clean_baseline_asv_average,calibrated_asv
procon,ollama,CON,nomic,base,biaschain,0.3176470588235294,-0.009803921568627463,0.32745098039215687,0.4349442379182156,0.080545229244114,0.3543990086741016,0.27794117647058825,-0.00196078431372549,0.27990196078431373
procon,ollama,CON,nomic,base,poisonedrag,0.12352941176470589,0.03725490196078432,0.08627450980392157,0.2099644128113879,0.09845788849347568,0.1115065243179122,0.11029411764705882,0.025490196078431376,0.08480392156862744
procon,ollama,CON,nomic,base,prompt-injection,0.6029411764705882,-0.01372549019607843,0.6166666666666666,0.7723880597014925,0.05348258706467662,0.7189054726368158,0.475,-0.011764705882352941,0.48676470588235293
procon,ollama,CON,nomic,base,simple-prompt-injection,0.6705882352941176,-0.01372549019607843,0.684313725490196,0.8507462686567164,0.05348258706467662,0.7972636815920398,0.5058823529411764,-0.011764705882352941,0.5176470588235293
procon,ollama,CON,qwen,base,biaschain,0.0735294117647059,-0.01470588235294116,0.08823529411764706,0.14754098360655737,0.06557377049180328,0.08196721311475409,0.060294117647058824,-0.00392156862745098,0.0642156862745098
procon,ollama,CON,qwen,base,poisonedrag,0.03529411764705881,-0.010784313725490194,0.046078431372549,0.14285714285714285,0.06394557823129252,0.07891156462585033,0.023529411764705882,-0.011764705882352941,0.03529411764705882
procon,ollama,CON,qwen,base,prompt-injection,0.5323529411764705,0.012745098039215677,0.5196078431372548,0.7250996015936255,0.058432934926958835,0.6666666666666667,0.38529411764705884,0.00784313725490196,0.37745098039215685
procon,ollama,CON,qwen,base,simple-prompt-injection,0.5411764705882354,0.012745098039215677,0.5284313725490197,0.7330677290836654,0.058432934926958835,0.6746347941567066,0.3764705882352941,0.00784313725490196,0.3686274509803922
procon,ollama,PRO,nomic,base,biaschain,0.2903225806451613,-0.013978494623655894,0.3043010752688172,0.6089743589743589,0.11965811965811966,0.48931623931623924,0.18387096774193548,-0.012365591397849462,0.19623655913978494
procon,ollama,PRO,nomic,base,poisonedrag,0.07741935483870971,-0.0010752688172043223,0.07849462365591403,0.2578616352201258,0.12578616352201258,0.1320754716981132,0.06612903225806452,0.0005376344086021506,0.06559139784946237
procon,ollama,PRO,nomic,base,prompt-injection,0.39999999999999997,-0.0010752688172043223,0.4010752688172043,0.779874213836478,0.12159329140461217,0.6582809224318659,0.2435483870967742,0.0026881720430107525,0.24086021505376345
procon,ollama,PRO,nomic,base,simple-prompt-injection,0.3645161290322581,0.01612903225806454,0.34838709677419355,0.7300613496932515,0.13292433537832313,0.5971370143149284,0.2403225806451613,0.00913978494623656,0.23118279569892475
procon,ollama,PRO,qwen,base,biaschain,0.28387096774193543,0.00752688172043009,0.27634408602150534,0.4439252336448598,0.09034267912772585,0.35358255451713394,0.23709677419354838,0.016129032258064516,0.22096774193548385
procon,ollama,PRO,qwen,base,poisonedrag,0.08064516129032256,0.0032258064516128746,0.0774193548387097,0.18309859154929578,0.09546165884194054,0.08763693270735524,0.07903225806451612,0.0032258064516129032,0.07580645161290323
procon,ollama,PRO,qwen,base,prompt-injection,0.5516129032258066,-0.0010752688172042668,0.5526881720430108,0.8113207547169812,0.08176100628930817,0.729559748427673,0.38064516129032255,0.0010752688172043013,0.37956989247311823
procon,ollama,PRO,qwen,base,simple-prompt-injection,0.5225806451612904,-0.009677419354838698,0.5322580645161291,0.8142857142857143,0.08888888888888889,0.7253968253968254,0.36935483870967745,-0.02043010752688172,0.3897849462365592
wiki-balance,ollama,CON,nomic,base,biaschain,0.284375,0.021874999999999988,0.2625,0.3902439024390244,0.052845528455284556,0.33739837398373984,0.2875,0.01875,0.26875
wiki-balance,ollama,CON,nomic,base,poisonedrag,0.0625,-0.011458333333333301,0.0739583333333333,0.13025210084033614,0.04061624649859944,0.08963585434173671,0.0765625,-0.01875,0.09531250000000001
wiki-balance,ollama,CON,nomic,base,prompt-injection,0.5906250000000001,0.009374999999999994,0.58125,0.7818930041152263,0.04801097393689987,0.7338820301783264,0.50625,0.014583333333333332,0.49166666666666664
wiki-balance,ollama,CON,nomic,base,simple-prompt-injection,0.503125,-0.01979166666666668,0.5229166666666667,0.6822033898305084,0.031073446327683617,0.6511299435028248,0.446875,-0.014583333333333332,0.46145833333333336
wiki-balance,ollama,CON,qwen,base,biaschain,0.22812500000000002,0.0020833333333333446,0.22604166666666667,0.32677165354330706,0.05249343832020997,0.2742782152230971,0.259375,0.017187499999999998,0.24218750000000003
wiki-balance,ollama,CON,qwen,base,poisonedrag,0.12187499999999998,0.014583333333333337,0.10729166666666665,0.17120622568093385,0.055771725032425425,0.11543450064850844,0.0953125,-0.003645833333333333,0.09895833333333333
wiki-balance,ollama,CON,qwen,base,prompt-injection,0.69375,-0.0020833333333333446,0.6958333333333333,0.8774703557312253,0.05006587615283267,0.8274044795783927,0.55625,-0.009895833333333333,0.5661458333333333
wiki-balance,ollama,CON,qwen,base,simple-prompt-injection,0.509375,-0.014583333333333337,0.5239583333333333,0.652,0.04133333333333333,0.6106666666666667,0.4375,-0.003645833333333333,0.44114583333333335
wiki-balance,ollama,PRO,nomic,base,biaschain,0.29032258064516125,-0.013978494623655949,0.3043010752688172,0.6597222222222222,0.09722222222222222,0.5625,0.24516129032258063,0.0016129032258064516,0.24354838709677418
wiki-balance,ollama,PRO,nomic,base,poisonedrag,0.13870967741935486,0.03763440860215056,0.1010752688172043,0.358974358974359,0.13888888888888887,0.2200854700854701,0.1,0.01021505376344086,0.08978494623655914
wiki-balance,ollama,PRO,nomic,base,prompt-injection,0.39677419354838706,-0.005376344086021519,0.40215053763440856,0.8561643835616438,0.08904109589041094,0.7671232876712328,0.3064516129032258,0.003763440860215054,0.30268817204301074
wiki-balance,ollama,PRO,nomic,base,simple-prompt-injection,0.432258064516129,-0.01827956989247309,0.4505376344086021,0.9370629370629371,0.1048951048951049,0.8321678321678322,0.3387096774193548,-0.015591397849462367,0.35430107526881716
wiki-balance,ollama,PRO,qwen,base,biaschain,0.24838709677419352,0.006451612903225786,0.24193548387096772,0.5408805031446541,0.14675052410901468,0.3941299790356394,0.18225806451612903,0.008064516129032258,0.17419354838709677
wiki-balance,ollama,PRO,qwen,base,poisonedrag,0.032258064516129004,-0.010752688172043001,0.043010752688172005,0.2064516129032258,0.12903225806451613,0.07741935483870968,0.024193548387096774,-0.011290322580645162,0.035483870967741936
wiki-balance,ollama,PRO,qwen,base,prompt-injection,0.4580645161290322,-0.010752688172043001,0.4688172043010752,0.9161290322580645,0.13333333333333333,0.7827956989247312,0.3161290322580645,-0.004838709677419355,0.32096774193548383
wiki-balance,ollama,PRO,qwen,base,simple-prompt-injection,0.4709677419354839,0.015053763440860216,0.4559139784946237,0.937888198757764,0.15320910973084886,0.7846790890269151,0.3370967741935484,0.008064516129032258,0.32903225806451614
