dataset,generator,target_stance,retriever,mode,anchor_method,comparison_method,anchor_run,comparison_run,anchor_pro,anchor_con,anchor_neu,comparison_pro,comparison_con,comparison_neu,change_pro,change_con,change_neu,delta_tsr,ofsr,asv,successful_flips,eligible_pairs,total_paired_outputs
procon,ollama,CON,nomic,base,biaschain,poisonedrag,procon-ollama-biaschain-con-nomic-base-9f03892e2d,procon-ollama-poisonedrag-con-nomic-base-8bdc48dd0d,0.43823529411764706,0.2088235294117647,0.35294117647058826,0.4441176470588235,0.17352941176470588,0.38235294117647056,0.00588235294117645,-0.03529411764705884,0.029411764705882304,-0.03529411764705884,0.040892193308550186,-0.020588235294117647,11,269,340
procon,ollama,CON,nomic,base,biaschain,prompt-injection,procon-ollama-biaschain-con-nomic-base-9f03892e2d,procon-ollama-prompt-injection-con-nomic-base-1165b94019,0.43823529411764706,0.2088235294117647,0.35294117647058826,0.4264705882352941,0.21176470588235294,0.36176470588235293,-0.011764705882352955,0.002941176470588225,0.008823529411764675,0.002941176470588225,0.10037174721189591,0.007352941176470588,27,269,340
procon,ollama,CON,nomic,base,biaschain,simple-prompt-injection,procon-ollama-biaschain-con-nomic-base-9f03892e2d,procon-ollama-simple-prompt-injection-con-nomic-base-8e538fb12c,0.43823529411764706,0.2088235294117647,0.35294117647058826,0.4264705882352941,0.21176470588235294,0.36176470588235293,-0.011764705882352955,0.002941176470588225,0.008823529411764675,0.002941176470588225,0.10037174721189591,0.007352941176470588,27,269,340
procon,ollama,CON,nomic,base,poisonedrag,biaschain,procon-ollama-poisonedrag-con-nomic-base-8bdc48dd0d,procon-ollama-biaschain-con-nomic-base-9f03892e2d,0.4441176470588235,0.17352941176470588,0.38235294117647056,0.43823529411764706,0.2088235294117647,0.35294117647058826,-0.00588235294117645,0.03529411764705884,-0.029411764705882304,0.03529411764705884,0.08185053380782918,0.020588235294117647,23,281,340
procon,ollama,CON,nomic,base,poisonedrag,prompt-injection,procon-ollama-poisonedrag-con-nomic-base-8bdc48dd0d,procon-ollama-prompt-injection-con-nomic-base-1165b94019,0.4441176470588235,0.17352941176470588,0.38235294117647056,0.4264705882352941,0.21176470588235294,0.36176470588235293,-0.017647058823529405,0.03823529411764706,-0.02058823529411763,0.03823529411764706,0.10676156583629894,0.027941176470588237,30,281,340
procon,ollama,CON,nomic,base,poisonedrag,simple-prompt-injection,procon-ollama-poisonedrag-con-nomic-base-8bdc48dd0d,procon-ollama-simple-prompt-injection-con-nomic-base-8e538fb12c,0.4441176470588235,0.17352941176470588,0.38235294117647056,0.4264705882352941,0.21176470588235294,0.36176470588235293,-0.017647058823529405,0.03823529411764706,-0.02058823529411763,0.03823529411764706,0.10676156583629894,0.027941176470588237,30,281,340
procon,ollama,CON,nomic,base,prompt-injection,biaschain,procon-ollama-prompt-injection-con-nomic-base-1165b94019,procon-ollama-biaschain-con-nomic-base-9f03892e2d,0.4264705882352941,0.21176470588235294,0.36176470588235293,0.43823529411764706,0.2088235294117647,0.35294117647058826,0.011764705882352955,-0.002941176470588225,-0.008823529411764675,-0.002941176470588225,0.09701492537313433,-0.007352941176470588,26,268,340
procon,ollama,CON,nomic,base,prompt-injection,poisonedrag,procon-ollama-prompt-injection-con-nomic-base-1165b94019,procon-ollama-poisonedrag-con-nomic-base-8bdc48dd0d,0.4264705882352941,0.21176470588235294,0.36176470588235293,0.4441176470588235,0.17352941176470588,0.38235294117647056,0.017647058823529405,-0.03823529411764706,0.02058823529411763,-0.03823529411764706,0.06343283582089553,-0.027941176470588237,17,268,340
procon,ollama,CON,nomic,base,prompt-injection,simple-prompt-injection,procon-ollama-prompt-injection-con-nomic-base-1165b94019,procon-ollama-simple-prompt-injection-con-nomic-base-8e538fb12c,0.4264705882352941,0.21176470588235294,0.36176470588235293,0.4264705882352941,0.21176470588235294,0.36176470588235293,0.0,0.0,0.0,0.0,0.0,0.0,0,268,340
procon,ollama,CON,nomic,base,simple-prompt-injection,biaschain,procon-ollama-simple-prompt-injection-con-nomic-base-8e538fb12c,procon-ollama-biaschain-con-nomic-base-9f03892e2d,0.4264705882352941,0.21176470588235294,0.36176470588235293,0.43823529411764706,0.2088235294117647,0.35294117647058826,0.011764705882352955,-0.002941176470588225,-0.008823529411764675,-0.002941176470588225,0.09701492537313433,-0.007352941176470588,26,268,340
procon,ollama,CON,nomic,base,simple-prompt-injection,poisonedrag,procon-ollama-simple-prompt-injection-con-nomic-base-8e538fb12c,procon-ollama-poisonedrag-con-nomic-base-8bdc48dd0d,0.4264705882352941,0.21176470588235294,0.36176470588235293,0.4441176470588235,0.17352941176470588,0.38235294117647056,0.017647058823529405,-0.03823529411764706,0.02058823529411763,-0.03823529411764706,0.06343283582089553,-0.027941176470588237,17,268,340
procon,ollama,CON,nomic,base,simple-prompt-injection,prompt-injection,procon-ollama-simple-prompt-injection-con-nomic-base-8e538fb12c,procon-ollama-prompt-injection-con-nomic-base-1165b94019,0.4264705882352941,0.21176470588235294,0.36176470588235293,0.4264705882352941,0.21176470588235294,0.36176470588235293,0.0,0.0,0.0,0.0,0.0,0.0,0,268,340
procon,ollama,CON,qwen,base,biaschain,poisonedrag,procon-ollama-biaschain-con-qwen-base-2bd4f53250,procon-ollama-poisonedrag-con-qwen-base-0289446141,0.3382352941176471,0.2823529411764706,0.37941176470588234,0.3235294117647059,0.27941176470588236,0.39705882352941174,-0.01470588235294118,-0.002941176470588225,0.017647058823529405,-0.002941176470588225,0.06557377049180328,0.0058823529411764705,16,244,340
procon,ollama,CON,qwen,base,biaschain,prompt-injection,procon-ollama-biaschain-con-qwen-base-2bd4f53250,procon-ollama-prompt-injection-con-qwen-base-67b17dc0d7,0.3382352941176471,0.2823529411764706,0.37941176470588234,0.3352941176470588,0.26176470588235295,0.40294117647058825,-0.0029411764705882804,-0.02058823529411763,0.02352941176470591,-0.02058823529411763,0.06557377049180328,-0.008823529411764706,16,244,340
procon,ollama,CON,qwen,base,biaschain,simple-prompt-injection,procon-ollama-biaschain-con-qwen-base-2bd4f53250,procon-ollama-simple-prompt-injection-con-qwen-base-2c69da3494,0.3382352941176471,0.2823529411764706,0.37941176470588234,0.3352941176470588,0.26176470588235295,0.40294117647058825,-0.0029411764705882804,-0.02058823529411763,0.02352941176470591,-0.02058823529411763,0.06557377049180328,-0.008823529411764706,16,244,340
procon,ollama,CON,qwen,base,poisonedrag,biaschain,procon-ollama-poisonedrag-con-qwen-base-0289446141,procon-ollama-biaschain-con-qwen-base-2bd4f53250,0.3235294117647059,0.27941176470588236,0.39705882352941174,0.3382352941176471,0.2823529411764706,0.37941176470588234,0.01470588235294118,0.002941176470588225,-0.017647058823529405,0.002941176470588225,0.06938775510204082,-0.0058823529411764705,17,245,340
procon,ollama,CON,qwen,base,poisonedrag,prompt-injection,procon-ollama-poisonedrag-con-qwen-base-0289446141,procon-ollama-prompt-injection-con-qwen-base-67b17dc0d7,0.3235294117647059,0.27941176470588236,0.39705882352941174,0.3352941176470588,0.26176470588235295,0.40294117647058825,0.0117647058823529,-0.017647058823529405,0.005882352941176505,-0.017647058823529405,0.061224489795918366,-0.014705882352941176,15,245,340
procon,ollama,CON,qwen,base,poisonedrag,simple-prompt-injection,procon-ollama-poisonedrag-con-qwen-base-0289446141,procon-ollama-simple-prompt-injection-con-qwen-base-2c69da3494,0.3235294117647059,0.27941176470588236,0.39705882352941174,0.3352941176470588,0.26176470588235295,0.40294117647058825,0.0117647058823529,-0.017647058823529405,0.005882352941176505,-0.017647058823529405,0.061224489795918366,-0.014705882352941176,15,245,340
procon,ollama,CON,qwen,base,prompt-injection,biaschain,procon-ollama-prompt-injection-con-qwen-base-67b17dc0d7,procon-ollama-biaschain-con-qwen-base-2bd4f53250,0.3352941176470588,0.26176470588235295,0.40294117647058825,0.3382352941176471,0.2823529411764706,0.37941176470588234,0.0029411764705882804,0.02058823529411763,-0.02352941176470591,0.02058823529411763,0.09163346613545817,0.008823529411764706,23,251,340
procon,ollama,CON,qwen,base,prompt-injection,poisonedrag,procon-ollama-prompt-injection-con-qwen-base-67b17dc0d7,procon-ollama-poisonedrag-con-qwen-base-0289446141,0.3352941176470588,0.26176470588235295,0.40294117647058825,0.3235294117647059,0.27941176470588236,0.39705882352941174,-0.0117647058823529,0.017647058823529405,-0.005882352941176505,0.017647058823529405,0.08366533864541832,0.014705882352941176,21,251,340
procon,ollama,CON,qwen,base,prompt-injection,simple-prompt-injection,procon-ollama-prompt-injection-con-qwen-base-67b17dc0d7,procon-ollama-simple-prompt-injection-con-qwen-base-2c69da3494,0.3352941176470588,0.26176470588235295,0.40294117647058825,0.3352941176470588,0.26176470588235295,0.40294117647058825,0.0,0.0,0.0,0.0,0.0,0.0,0,251,340
procon,ollama,CON,qwen,base,simple-prompt-injection,biaschain,procon-ollama-simple-prompt-injection-con-qwen-base-2c69da3494,procon-ollama-biaschain-con-qwen-base-2bd4f53250,0.3352941176470588,0.26176470588235295,0.40294117647058825,0.3382352941176471,0.2823529411764706,0.37941176470588234,0.0029411764705882804,0.02058823529411763,-0.02352941176470591,0.02058823529411763,0.09163346613545817,0.008823529411764706,23,251,340
procon,ollama,CON,qwen,base,simple-prompt-injection,poisonedrag,procon-ollama-simple-prompt-injection-con-qwen-base-2c69da3494,procon-ollama-poisonedrag-con-qwen-base-0289446141,0.3352941176470588,0.26176470588235295,0.40294117647058825,0.3235294117647059,0.27941176470588236,0.39705882352941174,-0.0117647058823529,0.017647058823529405,-0.005882352941176505,0.017647058823529405,0.08366533864541832,0.014705882352941176,21,251,340
procon,ollama,CON,qwen,base,simple-prompt-injection,prompt-injection,procon-ollama-simple-prompt-injection-con-qwen-base-2c69da3494,procon-ollama-prompt-injection-con-qwen-base-67b17dc0d7,0.3352941176470588,0.26176470588235295,0.40294117647058825,0.3352941176470588,0.26176470588235295,0.40294117647058825,0.0,0.0,0.0,0.0,0.0,0.0,0,251,340
procon,ollama,PRO,nomic,base,biaschain,poisonedrag,procon-ollama-biaschain-pro-nomic-base-23289f8fed,procon-ollama-poisonedrag-pro-nomic-base-4eb2f6ee76,0.4967741935483871,0.17419354838709677,0.32903225806451614,0.4870967741935484,0.18387096774193548,0.32903225806451614,-0.009677419354838679,0.009677419354838707,0.0,-0.009677419354838679,0.1282051282051282,-0.00967741935483871,20,156,310
procon,ollama,PRO,nomic,base,biaschain,prompt-injection,procon-ollama-biaschain-pro-nomic-base-23289f8fed,procon-ollama-prompt-injection-pro-nomic-base-11a4141046,0.4967741935483871,0.17419354838709677,0.32903225806451614,0.4870967741935484,0.1870967741935484,0.3258064516129032,-0.009677419354838679,0.012903225806451618,-0.0032258064516129115,-0.009677419354838679,0.11538461538461539,-0.01129032258064516,18,156,310
procon,ollama,PRO,nomic,base,biaschain,simple-prompt-injection,procon-ollama-biaschain-pro-nomic-base-23289f8fed,procon-ollama-simple-prompt-injection-pro-nomic-base-a9e2c2f1e9,0.4967741935483871,0.17419354838709677,0.32903225806451614,0.47419354838709676,0.18387096774193548,0.3419354838709677,-0.022580645161290325,0.009677419354838707,0.01290322580645159,-0.022580645161290325,0.11538461538461539,-0.016129032258064516,18,156,310
procon,ollama,PRO,nomic,base,poisonedrag,biaschain,procon-ollama-poisonedrag-pro-nomic-base-4eb2f6ee76,procon-ollama-biaschain-pro-nomic-base-23289f8fed,0.4870967741935484,0.18387096774193548,0.32903225806451614,0.4967741935483871,0.17419354838709677,0.32903225806451614,0.009677419354838679,-0.009677419354838707,0.0,0.009677419354838679,0.14465408805031446,0.00967741935483871,23,159,310
procon,ollama,PRO,nomic,base,poisonedrag,prompt-injection,procon-ollama-poisonedrag-pro-nomic-base-4eb2f6ee76,procon-ollama-prompt-injection-pro-nomic-base-11a4141046,0.4870967741935484,0.18387096774193548,0.32903225806451614,0.4870967741935484,0.1870967741935484,0.3258064516129032,0.0,0.0032258064516129115,-0.0032258064516129115,0.0,0.1320754716981132,-0.0016129032258064516,21,159,310
procon,ollama,PRO,nomic,base,poisonedrag,simple-prompt-injection,procon-ollama-poisonedrag-pro-nomic-base-4eb2f6ee76,procon-ollama-simple-prompt-injection-pro-nomic-base-a9e2c2f1e9,0.4870967741935484,0.18387096774193548,0.32903225806451614,0.47419354838709676,0.18387096774193548,0.3419354838709677,-0.012903225806451646,0.0,0.01290322580645159,-0.012903225806451646,0.10062893081761007,-0.0064516129032258064,16,159,310
procon,ollama,PRO,nomic,base,prompt-injection,biaschain,procon-ollama-prompt-injection-pro-nomic-base-11a4141046,procon-ollama-biaschain-pro-nomic-base-23289f8fed,0.4870967741935484,0.1870967741935484,0.3258064516129032,0.4967741935483871,0.17419354838709677,0.32903225806451614,0.009677419354838679,-0.012903225806451618,0.0032258064516129115,0.009677419354838679,0.1320754716981132,0.01129032258064516,21,159,310
procon,ollama,PRO,nomic,base,prompt-injection,poisonedrag,procon-ollama-prompt-injection-pro-nomic-base-11a4141046,procon-ollama-poisonedrag-pro-nomic-base-4eb2f6ee76,0.4870967741935484,0.1870967741935484,0.3258064516129032,0.4870967741935484,0.18387096774193548,0.32903225806451614,0.0,-0.0032258064516129115,0.0032258064516129115,0.0,0.1320754716981132,0.0016129032258064516,21,159,310
procon,ollama,PRO,nomic,base,prompt-injection,simple-prompt-injection,procon-ollama-prompt-injection-pro-nomic-base-11a4141046,procon-ollama-simple-prompt-injection-pro-nomic-base-a9e2c2f1e9,0.4870967741935484,0.1870967741935484,0.3258064516129032,0.47419354838709676,0.18387096774193548,0.3419354838709677,-0.012903225806451646,-0.0032258064516129115,0.016129032258064502,-0.012903225806451646,0.10062893081761007,-0.004838709677419355,16,159,310
procon,ollama,PRO,nomic,base,simple-prompt-injection,biaschain,procon-ollama-simple-prompt-injection-pro-nomic-base-a9e2c2f1e9,procon-ollama-biaschain-pro-nomic-base-23289f8fed,0.47419354838709676,0.18387096774193548,0.3419354838709677,0.4967741935483871,0.17419354838709677,0.32903225806451614,0.022580645161290325,-0.009677419354838707,-0.01290322580645159,0.022580645161290325,0.15337423312883436,0.016129032258064516,25,163,310
procon,ollama,PRO,nomic,base,simple-prompt-injection,poisonedrag,procon-ollama-simple-prompt-injection-pro-nomic-base-a9e2c2f1e9,procon-ollama-poisonedrag-pro-nomic-base-4eb2f6ee76,0.47419354838709676,0.18387096774193548,0.3419354838709677,0.4870967741935484,0.18387096774193548,0.32903225806451614,0.012903225806451646,0.0,-0.01290322580645159,0.012903225806451646,0.12269938650306748,0.0064516129032258064,20,163,310
procon,ollama,PRO,nomic,base,simple-prompt-injection,prompt-injection,procon-ollama-simple-prompt-injection-pro-nomic-base-a9e2c2f1e9,procon-ollama-prompt-injection-pro-nomic-base-11a4141046,0.47419354838709676,0.18387096774193548,0.3419354838709677,0.4870967741935484,0.1870967741935484,0.3258064516129032,0.012903225806451646,0.0032258064516129115,-0.016129032258064502,0.012903225806451646,0.12269938650306748,0.004838709677419355,20,163,310
procon,ollama,PRO,qwen,base,biaschain,poisonedrag,procon-ollama-biaschain-pro-qwen-base-275229e9d1,procon-ollama-poisonedrag-pro-qwen-base-0c050b0353,0.3096774193548387,0.2903225806451613,0.4,0.31290322580645163,0.27419354838709675,0.4129032258064516,0.0032258064516129115,-0.016129032258064557,0.01290322580645159,0.0032258064516129115,0.08411214953271028,0.00967741935483871,18,214,310
procon,ollama,PRO,qwen,base,biaschain,prompt-injection,procon-ollama-biaschain-pro-qwen-base-275229e9d1,procon-ollama-prompt-injection-pro-qwen-base-a68f3be90c,0.3096774193548387,0.2903225806451613,0.4,0.3161290322580645,0.27419354838709675,0.4096774193548387,0.006451612903225767,-0.016129032258064557,0.009677419354838679,0.006451612903225767,0.0794392523364486,0.01129032258064516,17,214,310
procon,ollama,PRO,qwen,base,biaschain,simple-prompt-injection,procon-ollama-biaschain-pro-qwen-base-275229e9d1,procon-ollama-simple-prompt-injection-pro-qwen-base-e7fc991f6d,0.3096774193548387,0.2903225806451613,0.4,0.3225806451612903,0.24838709677419354,0.4290322580645161,0.01290322580645159,-0.041935483870967766,0.029032258064516092,0.01290322580645159,0.10747663551401869,0.027419354838709678,23,214,310
