idx,topic,group,perplexity,log_perplexity,token_count,source_file,database_id
1,,Whole Clean Corpus,31.554032779224844,3.4517014026641846,189,procon_corpus.jsonl#L1,24f0865b-9019-431b-ac19-98db9702abd0
2,,Whole Clean Corpus,38.592899318201425,3.6530683040618896,126,procon_corpus.jsonl#L1,c2bd9f86-b40b-45e4-be46-a6aee82118fe
3,,Whole Clean Corpus,18.78230514126392,2.932915210723877,220,procon_corpus.jsonl#L2,a71d44a7-4a99-4838-ac7c-924e9c57ae94
4,,Whole Clean Corpus,37.76096481734551,3.6312758922576904,177,procon_corpus.jsonl#L2,a448a776-1712-4b2b-a68a-6ce5309730dd
5,,Whole Clean Corpus,32.855035050448926,3.492105007171631,91,procon_corpus.jsonl#L3,7044b908-6923-4fb8-b7cf-d064c386fa5d
6,,Whole Clean Corpus,35.3271225257676,3.5646510124206543,164,procon_corpus.jsonl#L4,b9b2bc66-f8c6-4757-ab2f-de2dfd5c12ee
7,,Whole Clean Corpus,38.18620836732017,3.642474412918091,220,procon_corpus.jsonl#L5,3b8a2e0b-9c80-4a77-b81d-27fe38f54477
8,,Whole Clean Corpus,74.19490345864942,4.306695461273193,78,procon_corpus.jsonl#L5,969df02c-e729-45cf-be93-240198327f39
9,,Whole Clean Corpus,22.485817112557886,3.112884759902954,186,procon_corpus.jsonl#L6,2254e698-7f05-428b-ba69-5f99e871d060
10,,Whole Clean Corpus,38.323602145485076,3.6460659503936768,117,procon_corpus.jsonl#L6,616078a7-fb72-4b34-8a77-c5b0410e921e
11,,Whole Clean Corpus,26.95527369717332,3.2941789627075195,223,procon_corpus.jsonl#L7,9523db34-4c73-414b-b845-f54b653287f4
12,,Whole Clean Corpus,78.75814061111048,4.366381645202637,68,procon_corpus.jsonl#L7,1eec93b7-1d51-41b0-9a20-a3f9ceb6a889
13,,Whole Clean Corpus,31.03772232219861,3.4352033138275146,200,procon_corpus.jsonl#L8,23fa6534-0a9c-4137-bf5b-dd4ee5ee9199
14,,Whole Clean Corpus,23.241652280147918,3.1459460258483887,201,procon_corpus.jsonl#L9,adb2450d-60f1-4944-9194-b790643b3727
15,,Whole Clean Corpus,32.18894092030916,3.471622943878174,195,procon_corpus.jsonl#L9,638accf7-e17c-48d7-939b-c63a4f5aca90
16,,Whole Clean Corpus,74.81905035680586,4.315072536468506,51,procon_corpus.jsonl#L9,674311aa-5b6d-452c-90c8-cee94ba84182
17,,Whole Clean Corpus,15.55306813595248,2.744257926940918,177,procon_corpus.jsonl#L10,8126d7e2-953d-4ad2-acaf-011c914de19d
18,,Whole Clean Corpus,36.93334809504029,3.6091148853302,199,procon_corpus.jsonl#L11,b04e04c2-bbe5-4f9c-8034-2609c874ecdd
19,,Whole Clean Corpus,54.2915475717678,3.994368553161621,157,procon_corpus.jsonl#L11,2471044c-3d0e-478c-aa81-d8a0d83cbd08
20,,Whole Clean Corpus,30.56456371951334,3.4198412895202637,209,procon_corpus.jsonl#L12,5e10be9b-e8ca-4356-89a6-80993d66ccf8
21,,Whole Clean Corpus,34.28984227991716,3.534849166870117,211,procon_corpus.jsonl#L12,16a9b29d-3f3c-4b4a-9177-69c2a094be73
22,,Whole Clean Corpus,21.63411442897304,3.0742714405059814,210,procon_corpus.jsonl#L13,6c35246f-0c9b-4982-b510-92d27d60e27d
23,,Whole Clean Corpus,26.299341114379168,3.2695438861846924,201,procon_corpus.jsonl#L14,8bcd025b-5d50-4ad5-bf25-27e1a5df5b47
24,,Whole Clean Corpus,113.20343783573779,4.729186534881592,51,procon_corpus.jsonl#L14,de687881-c834-430f-b22e-357baee084ca
25,,Whole Clean Corpus,21.037481001382737,3.0463056564331055,235,procon_corpus.jsonl#L15,093aee75-c3bd-4c85-acc2-5fe1e9e6dcf3
26,,Whole Clean Corpus,50.03101905636408,3.9126431941986084,93,procon_corpus.jsonl#L15,6a58fb2f-213b-4001-a408-d6f1dad84fd3
27,,Whole Clean Corpus,26.937400718160973,3.293515682220459,206,procon_corpus.jsonl#L16,5d2f3031-e89d-4bbc-b84c-73821287cf27
28,,Whole Clean Corpus,28.685934832273244,3.3564069271087646,172,procon_corpus.jsonl#L16,2f20f878-06b2-4792-93ba-84872b0c801b
29,,Whole Clean Corpus,17.720843653039026,2.874741554260254,140,procon_corpus.jsonl#L17,96d89719-a43f-4e48-a96c-b6d6057ad1fb
30,,Whole Clean Corpus,29.16031457100017,3.3728086948394775,182,procon_corpus.jsonl#L18,ad079cc7-1514-46c9-91de-698049168f52
31,,Whole Clean Corpus,16.921905900628538,2.828608989715576,200,procon_corpus.jsonl#L19,a5be8e78-874b-4afc-8177-2e1073bd3ec3
32,,Whole Clean Corpus,35.20675791718878,3.5612380504608154,92,procon_corpus.jsonl#L19,2aae59df-e9cb-44a3-9b90-aad2431a8e09
33,,Whole Clean Corpus,17.87062327658979,2.8831582069396973,109,procon_corpus.jsonl#L20,6a28575e-445a-4e45-bb99-9e71e19d92f2
34,,Whole Clean Corpus,12.092672924086354,2.4925997257232666,75,procon_corpus.jsonl#L21,b142d037-ed17-420e-935e-3c8956bd60fc
35,,Whole Clean Corpus,23.572851546932796,3.160095691680908,80,procon_corpus.jsonl#L22,8d38800b-46f0-4be9-8e8e-0241d99479ad
36,,Whole Clean Corpus,34.62049172345074,3.544445753097534,105,procon_corpus.jsonl#L23,bf9d7e96-1011-4988-bd99-17b5aba9d5d1
37,,Whole Clean Corpus,160.43164833186262,5.0778679847717285,33,procon_corpus.jsonl#L24,5c4d423c-f6c7-4ff1-9ae2-f4afc57fa255
38,,Whole Clean Corpus,18.009646410050014,2.8909075260162354,92,procon_corpus.jsonl#L25,113504b9-f00a-441c-bdfa-6b8ec9802fad
39,,Whole Clean Corpus,31.64973562440509,3.4547297954559326,24,procon_corpus.jsonl#L26,f9c98677-2e34-4109-8144-ce19fcdcd3bb
40,,Whole Clean Corpus,12.69827599868002,2.541466236114502,79,procon_corpus.jsonl#L27,a4865a4d-fd65-4b9f-b77a-5a5387e427ce
41,,Whole Clean Corpus,27.509694748390668,3.3145384788513184,63,procon_corpus.jsonl#L28,16b209dd-74f1-4279-a827-79670b4eb9b6
42,,Whole Clean Corpus,33.9664401255356,3.5253729820251465,45,procon_corpus.jsonl#L29,6075384e-97f3-4bce-88a8-1e1a2a6327f2
43,,Whole Clean Corpus,45.818326044579514,3.8246841430664062,56,procon_corpus.jsonl#L30,3de1fd5f-bbc3-4896-8b45-e6add5367654
44,,Whole Clean Corpus,138.67230716838142,4.9321136474609375,47,procon_corpus.jsonl#L31,453d0e31-d59d-4c03-b369-5fa069c00df7
45,,Whole Clean Corpus,38.64456216044232,3.6544060707092285,52,procon_corpus.jsonl#L32,98d35a52-6989-45a0-a319-ce50fa21a107
46,,Whole Clean Corpus,40.398732796223,3.698798418045044,47,procon_corpus.jsonl#L33,44268047-8881-4a7d-8fb6-db427eeb799f
47,,Whole Clean Corpus,40.42507474496987,3.6994502544403076,104,procon_corpus.jsonl#L34,4b62535b-01b5-4ab8-8303-94544ca9ca99
48,,Whole Clean Corpus,28.21648031754995,3.3399062156677246,90,procon_corpus.jsonl#L35,ec37bc81-7dbf-423a-b789-342cfbd36a68
49,,Whole Clean Corpus,57.47182361523425,4.051294803619385,84,procon_corpus.jsonl#L36,8a136b78-bb00-47f8-a3f1-e4b2aa7b2fec
50,,Whole Clean Corpus,77.47461339252575,4.349950313568115,34,procon_corpus.jsonl#L37,7e8e1d29-5a96-4c17-a796-b5b8d43a4f79
51,,Whole Clean Corpus,24.2634890340948,3.1889727115631104,50,procon_corpus.jsonl#L38,c6c370b4-7404-4aa0-a037-316a84e6f1e4
52,,Whole Clean Corpus,49.90032441142416,3.910027503967285,64,procon_corpus.jsonl#L39,e5a64c4a-f9f8-4894-8269-af242a22e912
53,,Whole Clean Corpus,44.24091162612447,3.7896499633789062,28,procon_corpus.jsonl#L40,1b70e6c3-a7e0-49b4-9d47-010ab197b287
54,,Whole Clean Corpus,37.89261835179064,3.634756326675415,103,procon_corpus.jsonl#L41,26d94b3a-fc39-4cc5-b6e8-a33c74edf7c3
55,,Whole Clean Corpus,48.57598914416199,3.883129358291626,26,procon_corpus.jsonl#L42,743ee4f4-c764-45de-9241-f779cf8c1ede
56,,Whole Clean Corpus,47.82841846072796,3.8676199913024902,82,procon_corpus.jsonl#L43,c324e76b-80de-4994-8f55-10ad403efeec
57,,Whole Clean Corpus,59.91951945113522,4.0930023193359375,150,procon_corpus.jsonl#L44,7f1b7808-fa05-4d64-9f4a-1bd9f7e7ee2a
58,,Whole Clean Corpus,47.902322516729825,3.869163990020752,86,procon_corpus.jsonl#L45,d711973c-6cac-49e6-9c41-a93fd2b6af4f
59,,Whole Clean Corpus,121.87398188646128,4.802987575531006,37,procon_corpus.jsonl#L46,87da235c-6a54-4677-92be-e43f503103bb
60,,Whole Clean Corpus,30.8695490769574,3.4297702312469482,166,procon_corpus.jsonl#L47,883faa0a-f12e-4c6c-8a28-bf53a3d75778
61,,Whole Clean Corpus,70.14466882189613,4.2505598068237305,67,procon_corpus.jsonl#L48,517a07e9-57cb-4923-8c7d-ad20d173a8f6
62,,Whole Clean Corpus,45.780512052280706,3.8238584995269775,72,procon_corpus.jsonl#L49,4633fe7b-5bce-47b3-b9f1-5a92c8b0ee99
63,,Whole Clean Corpus,22.24813545696334,3.1022582054138184,68,procon_corpus.jsonl#L50,66f6bb35-ec58-4f85-9b52-75573249e462
64,,Whole Clean Corpus,24.41805921789281,3.1953229904174805,52,procon_corpus.jsonl#L51,48794593-a0fe-481d-805d-714942ba3199
65,,Whole Clean Corpus,21.228883876969014,3.0553627014160156,49,procon_corpus.jsonl#L52,71d5cb95-77e8-4e7d-97de-879a655dc9bb
66,,Whole Clean Corpus,38.86063278782226,3.6599817276000977,61,procon_corpus.jsonl#L53,2a3d3198-5a63-46dd-bcf1-1ddf1c79ef08
67,,Whole Clean Corpus,20.997178169243107,3.0443880558013916,57,procon_corpus.jsonl#L54,4ec5e613-0715-430a-b104-e963a5ed258a
68,,Whole Clean Corpus,34.30374316712796,3.53525447845459,77,procon_corpus.jsonl#L55,3759f2fd-fc24-46e7-9613-66ccd6e458a2
69,,Whole Clean Corpus,19.866495164568025,2.989034652709961,76,procon_corpus.jsonl#L56,3d2499d8-67bb-4ecc-ab31-88c994c9b417
